Feature,Type,Importance,Refactoring,
refactoring_contribution_ratio,Process,239,Yes,
CMV:updat,Textual,170,Yes,
CMV:remov,Textual,145,Yes,
lines_deleted,Process,140,Yes,
has_executanle_file,Process,108,-,
lines_added,Process,94,Yes,
code_entropy,Process,88,Yes,
CountLineCodeDecl,Code,87,Yes,
CMV:refactor,Textual,78,Yes,
CountDeclFunction,Code,51,No,
CMV:improv,Textual,50,Yes,
lines_changed,Process,49,Yes,
CMV:move,Textual,45,Yes,
CMV:renam,Textual,43,Yes,
SumCyclomatic,Code,42,Yes,
readability,Textual,41,Yes,
words_count,Textual,41,No,
CMV:clean,Textual,38,Yes,
AvgCountLineCode,Code,36,Yes,
CMV:cleanup,Textual,32,Yes,
CountLineComment,Code,30,Yes,
CMV:add,Textual,29,Yes,
CountLineBlank,Code,24,Yes,
CMV:simplifi,Textual,23,Yes,
RatioCommentToCode,Code,22,No,
CMV:split,Textual,22,Yes,
CMV:unus,Textual,19,Yes,
MaxCyclomatic,Code,19,Yes,
CMV:redeem (readme),Textual,15,No,
CMV:restructur,Textual,14,Yes,
CMV:option,Textual,14,Yes,
CMV:doc,Textual,12,No,
CMV:name,Textual,12,Yes,
CMV:ad,Textual,11,Yes,
CMV:paramet,Textual,10,Yes,
CMV:fix,Textual,10,No,
CMV:argument,Textual,10,Yes,
AvgCountLine,Code,9,Yes,
CMV:support,Textual,9,Yes,
MaxInheritanceTree,Code,8,Yes,
CMV:method,Textual,8,Yes,
AvgCountLineComment,Code,8,Yes,
CMV:pram,Textual,7,Yes,
CMV:argo,Textual,7,Yes,
CMV:function,Textual,7,Yes,
CMV:ag,Textual,6,Yes,
CMV:format,Textual,6,No,
CMV:black,Textual,6,No,
AvgCountLineBlank,Code,6,No,
CMV:pep,Textual,6,No,
CountDeclClass,Code,5,No,
CMV:type,Textual,5,Yes,
CMV:privat,Textual,5,Yes,
CMV:flag,Textual,5,Yes,
CMV:allo (allow),Textual,5,Yes,
CMV:make,Textual,5,Yes,
CMV:delet,Textual,4,No,
MaxNesting,Code,4,Yes,
CMV:hint,Textual,4,Yes,
CMV:fix test,Textual,4,Yes,
CMV:bump,Textual,3,No,
CMV:arn (warn),Textual,3,No,
CMV:reformat,Textual,3,No,
AvgCyclomatic,Code,2,No,
CMV:chang,Textual,2,Yes,
CMV:batch,Textual,2,Yes,
CMV:correct,Textual,2,No,
CMV:sim,Textual,2,Yes,
CMV:annot,Textual,2,Yes,
Cyclomatic,Code,2,Yes,
CMV:releas,Textual,2,No,
CMV:python,Textual,2,No,
CMV:pass,Textual,2,Yes,
CMV:interfac,Textual,2,Yes,
CMV:algorithm,Textual,1,Yes,
CMV:add doc,Textual,1,Yes,
CMV:ad support,Textual,1,Yes,
CMV:better,Textual,1,Yes,
CMV:ne,Textual,1,Yes,
CMV:case,Textual,1,No,
CMV:sitch,Textual,1,Yes,
CMV:instal,Textual,1,No,
CMV:improv doc,Textual,1,Yes,
CMV:refin,Textual,1,No,
CMV:revi,Textual,1,Yes,
CMV:section,Textual,1,No,
CMV:fix typo,Textual,1,Yes,
CMV:static,Textual,1,Yes,
CMV:check,Textual,1,No,
CMV:except,Textual,1,Yes,
CMV:error,Textual,1,No,
CMV:element,Textual,1,Yes,
CMV:upgrad,Textual,1,Yes,
CMV:version,Textual,1,No,
CMV:ci,Textual,1,Yes,
CMV:abil,Textual,1,Yes,
